filename,frontmatter title,frontmatter primary_keyword (if present),word count of body content,status (placeholder/scaffold vs real written article),potential cannibalization / close duplicate flag,undocumented page flag,documented source(s),planned calendar pages with no corresponding file yet
best-reversal-indicator-a-practical-buyers-guide.mdx,Best Reversal Indicator: A Practical Buyer’s Guide,best reversal indicator,114,placeholder/scaffold,no,no,site_architecture; content_calendar,
best-reversal-indicator-tradingview.mdx,Best Reversal Indicator for TradingView: 2026 Comparison,best reversal indicator tradingview,111,placeholder/scaffold,no,no,site_architecture; content_calendar,
best-trading-indicator-buy-and-sell-signals-what-to-compare.mdx,Best Trading Indicator Buy and Sell Signals: What to Compare,best trading indicator buy and sell,116,placeholder/scaffold,no,no,site_architecture; content_calendar,
best-tradingview-indicator-for-scalping-vs-reversals.mdx,Best TradingView Indicator for Scalping vs Reversals,best tradingview indicator for scalping,112,placeholder/scaffold,no,no,site_architecture; content_calendar,
best-tradingview-indicator-for-swing-trading-what-matters.mdx,Best TradingView Indicator for Swing Trading: What Matters,best tradingview indicator for swing trading,113,placeholder/scaffold,no,no,site_architecture; content_calendar,
best-trend-reversal-indicator-features-for-tradingview-users.mdx,Best Trend Reversal Indicator Features for TradingView Users,best trend reversal indicator,116,placeholder/scaffold,no,no,site_architecture; content_calendar,
breaker-block-trading-guide.mdx,Breaker Blocks Explained: How to Trade Them,breaker block,1294,real written article,no,no,site_architecture; content_calendar,
breaker-blocks-vs-order-blocks.mdx,Breaker Blocks vs Order Blocks for Reversal Traders,breaker block vs order block,118,placeholder/scaffold,no,no,site_architecture; content_calendar,
buy-sell-signal-indicator-mt5-vs-tradingview-key-differences.mdx,Buy Sell Signal Indicator MT5 vs TradingView: Key Differences,buy sell signal indicator mt5,117,placeholder/scaffold,no,no,site_architecture; content_calendar,
buy-sell-signal-indicator.mdx,Buy Sell Signal Indicator: How to Use Signals Responsibly,buy sell signal indicator,97,placeholder/scaffold,no,no,site_architecture; content_calendar,
crypto-reversal-trading-strategy-for-tradingview-signals.mdx,Crypto Reversal Trading Strategy for TradingView Signals,crypto reversal trading strategy,122,placeholder/scaffold,no,no,site_architecture; content_calendar,
displacement-in-forex-trading.mdx,Displacement in Forex: What It Signals,displacement forex,840,real written article,no,no,site_architecture; content_calendar,
fair-value-gap-trading.mdx,Fair Value Gap Trading for Reversal Setups,fair value gap,113,placeholder/scaffold,no,no,site_architecture; content_calendar,
forex-reversal-trading-strategy-entries-exits-and-signals.mdx,"Forex Reversal Trading Strategy: Entries, Exits, and Signals",reversal trading strategy forex,111,placeholder/scaffold,no,no,site_architecture; content_calendar,
how-to-automate-tradingview-indicator-alerts-safely.mdx,How to Automate TradingView Indicator Alerts Safely,how to automate tradingview indicator,103,placeholder/scaffold,no,no,site_architecture; content_calendar,
how-to-create-your-own-tradingview-indicator-beginner-guide.mdx,How to Create Your Own TradingView Indicator: Beginner Guide,how to create your own tradingview indicator,113,placeholder/scaffold,no,no,site_architecture; content_calendar,
market-reversal-indicator-checklist-for-new-traders.mdx,Market Reversal Indicator Checklist for New Traders,market reversal indicator,114,placeholder/scaffold,no,no,site_architecture; content_calendar,
most-accurate-swing-trading-indicator-signals-to-watch.mdx,Most Accurate Swing Trading Indicator Signals to Watch,most accurate swing trading indicator,112,placeholder/scaffold,no,no,site_architecture; content_calendar,
most-effective-tradingview-buy-sell-signal-indicator-features.mdx,Most Effective TradingView Buy Sell Signal Indicator Features,most effective tradingview buy sell signal indicator,116,placeholder/scaffold,no,no,site_architecture; content_calendar,
multi-timeframe-analysis-trading.mdx,Multi Timeframe Analysis for Cleaner Reversal Entries,multi timeframe,89,placeholder/scaffold,no,no,site_architecture; content_calendar,
multi-timeframe-rsi-reversal-indicator-setup-guide.mdx,Multi Timeframe RSI Reversal Indicator Setup Guide,multi timeframe rsi reversal indicator,115,placeholder/scaffold,no,no,site_architecture; content_calendar,
pivot-point-reversal-indicator-how-traders-spot-turns.mdx,Pivot Point Reversal Indicator: How Traders Spot Turns,pivot point reversal indicator,114,placeholder/scaffold,no,no,site_architecture; content_calendar,
price-reversal-indicator-how-to-confirm-market-turns.mdx,Price Reversal Indicator: How to Confirm Market Turns,price reversal indicator,108,placeholder/scaffold,no,no,site_architecture; content_calendar,
reversal-trading-strategy-indicator-how-signals-confirm-entries.mdx,Reversal Trading Strategy Indicator: How Signals Confirm Entries,reversal trading strategy indicator,118,placeholder/scaffold,no,no,site_architecture; content_calendar,
rsi-divergence-reversal-signals.mdx,RSI Divergence Reversal Signals: Entry Confirmation Guide,rsi divergence,104,placeholder/scaffold,no,no,site_architecture; content_calendar,
smt-divergence-smart-money-confirmation-for-reversals.mdx,SMT Divergence: Smart Money Confirmation for Reversals,smt divergence,104,placeholder/scaffold,no,no,site_architecture; content_calendar,
stochastic-momentum-index.mdx,Stochastic Momentum Index: How to Use It,stochastic momentum index,969,real written article,no,no,site_architecture; content_calendar,
supply-demand-trading-zones.mdx,Supply and Demand Trading Zones for Reversal Traders,supply demand trading,111,placeholder/scaffold,no,no,site_architecture; content_calendar,
swing-trading-indicator.mdx,Swing Trading Indicator Guide for Better Entries and Exits,swing trading indicator,89,placeholder/scaffold,no,no,site_architecture; content_calendar,
trading-ai-vs-indicators.mdx,Trading AI vs Trading Indicators: Which Should You Use?,trading ai,103,placeholder/scaffold,no,no,site_architecture; content_calendar,
tradingview-entry-exit-indicator-setup-and-signal-workflow.mdx,TradingView Entry Exit Indicator: Setup and Signal Workflow,tradingview entry exit indicator,113,placeholder/scaffold,no,no,site_architecture; content_calendar,
tradingview-indicator-liquidity-zones-for-reversal-entries.mdx,TradingView Indicator Liquidity Zones for Reversal Entries,tradingview indicator liquidity zones,115,placeholder/scaffold,no,no,site_architecture; content_calendar,
tradingview-indicator-not-showing.mdx,TradingView Indicator Not Showing? Setup Fixes to Try,tradingview indicator not showing,89,placeholder/scaffold,no,no,site_architecture; content_calendar,
tradingview-indicator-reaction-entry-how-to-time-pullbacks.mdx,TradingView Indicator Reaction Entry: How to Time Pullbacks,tradingview indicator reaction entry,113,placeholder/scaffold,no,no,site_architecture; content_calendar,
trend-reversal-indicator-signals-confirmations-and-alerts.mdx,"Trend Reversal Indicator: Signals, Confirmations, and Alerts",trend reversal indicator,114,placeholder/scaffold,no,no,site_architecture; content_calendar,
trend-reversal-patterns.mdx,What Is a Trend Reversal Pattern?,what is trend reversal pattern,85,placeholder/scaffold,no,no,site_architecture; content_calendar,
trendspider-vs-tradingview-indicators.mdx,TrendSpider vs TradingView Indicators: Which Fits Your Workflow?,trendspider review,87,placeholder/scaffold,no,no,site_architecture; content_calendar,
what-is-a-reversal-trading-strategy-beginner-guide.mdx,What Is a Reversal Trading Strategy? Beginner Guide,what is a reversal trading strategy,119,placeholder/scaffold,no,no,site_architecture; content_calendar,
__AUDIT_SUMMARY__,Planned calendar pages with no corresponding file yet,,,38 files audited; 3 real written articles; 35 placeholders/scaffolds,0 files flagged,0 undocumented files,,NONE
