keyword,search volume,KD,CPC,search intent (informational/transactional/navigational),notes
breaker block,673000,13,4.5,informational,"PRIORITY_TOP_20 volume/KD=51769.23; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. luxalgo.com ranks #9; page: breaker blocks vs order blocks"
nasdaq futures,301000,62,2.61,informational,"PRIORITY_TOP_20 volume/KD=4854.84; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. tradingview.com ranks #3; large but broad/not primary for indicator launch"
fx replay,22200,20,0.43,informational,"PRIORITY_TOP_20 volume/KD=1110.00; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. luxalgo.com ranks #9; backtesting-platform content angle"
forex replay,22200,22,0.43,transactional,"PRIORITY_TOP_20 volume/KD=1009.09; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. luxalgo.com ranks #12; backtesting-platform content angle"
stochastic momentum index,22200,30,4.43,informational,"PRIORITY_TOP_20 volume/KD=740.00; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. trendspider.com ranks #5; indicator education gap"
multi timeframe,14800,27,5.67,informational,"PRIORITY_TOP_20 volume/KD=548.15; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. luxalgo.com ranks #14; indicator feature/content angle"
displacement forex,6600,13,0,transactional,"PRIORITY_TOP_20 volume/KD=507.69; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. luxalgo.com ranks #10; institutional sweep topic"
trading ai,18100,37,12.62,transactional,"PRIORITY_TOP_20 volume/KD=489.19; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. trendspider.com ranks #4; product-positioning gap"
supply and demand charting,14800,31,8.6,informational,"PRIORITY_TOP_20 volume/KD=477.42; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. luxalgo.com/trendspider rank; strong education topic"
fair value gap,9900,35,5.56,informational,"PRIORITY_TOP_20 volume/KD=282.86; Competitor gap keyword; competitor URLs were placeholders, so assumed luxalgo.com, trendspider.com, tradingview.com; not present in seed/related list. trendspider.com ranks #4; high-value education gap"
